Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|
100000,0.35,60.35,4.0,49.37,85.9,85.9
324875,-0.00,3.17,0.0,?,1808.6,1808.6
549750,0.06,2.11,481.1,96.19,2625.1,2668.9
774625,-0.00,1.76,0.0,?,3256.1,3256.1
999500,0.06,1.58,834.2,96.19,3414.1,3514.5
1224375,-0.00,1.58,0.0,?,3617.9,3617.9
1449250,0.06,1.76,683.0,96.19,3105.9,3180.1
1674125,-0.00,1.94,0.0,?,2960.0,2960.0
1899000,-0.00,2.29,0.0,?,2504.5,2504.5
2123875,0.06,2.46,356.6,96.19,2269.6,2297.4
2348750,0.06,2.82,274.6,96.19,1997.1,2015.8
2573625,0.06,3.34,195.8,96.19,1690.7,1702.0
2798500,-0.00,3.87,0.0,?,1479.6,1479.6
3023375,-0.00,4.40,0.0,?,1301.9,1301.9
3248250,-0.00,4.93,0.0,?,1162.3,1162.3
3473125,-0.00,5.45,0.0,?,1049.6,1049.6
3698000,-0.00,5.98,0.0,?,956.9,956.9
3922875,-0.00,6.51,0.0,?,879.1,879.1
4147750,-0.00,7.04,0.0,?,813.1,813.1
4372625,-0.00,7.74,0.0,?,738.9,738.9
4597500,-0.00,8.27,0.0,?,691.6,691.6
4822375,-0.00,8.97,0.0,?,637.2,637.2
5047250,-0.00,9.50,0.0,?,601.6,601.6
5272125,-0.00,10.21,0.0,?,559.9,559.9
5497000,-0.00,10.73,0.0,?,532.3,532.3
5721875,-0.00,11.44,0.0,?,499.3,499.3
5946750,-0.00,11.96,0.0,?,477.1,477.1
6171625,-0.00,12.49,0.0,?,456.8,456.8
6396500,-0.00,13.20,0.0,?,432.3,432.3
6621375,-0.00,13.72,0.0,?,415.5,415.5
6846250,-0.00,14.25,0.0,?,399.9,399.9
7071125,-0.00,14.96,0.0,?,380.9,380.9
7296000,-0.00,15.48,0.0,?,367.8,367.8
7520875,-0.00,16.19,0.0,?,351.6,351.6
7745750,-0.00,16.72,0.0,?,340.3,340.3
7970625,-0.00,17.42,0.0,?,326.4,326.4
8195500,-0.00,17.95,0.0,?,316.6,316.6
8420375,-0.00,18.65,0.0,?,304.5,304.5
8645250,-0.00,19.18,0.0,?,295.9,295.9
8870125,-0.00,19.88,0.0,?,285.3,285.3
9095000,-0.00,20.41,0.0,?,277.7,277.7
9319875,-0.00,21.11,0.0,?,268.3,268.3
9544750,-0.00,21.64,0.0,?,261.6,261.6
9769625,-0.00,22.35,0.0,?,253.1,253.1
9994500,-0.00,22.87,0.0,?,247.1,247.1
10219375,-0.00,23.58,0.0,?,239.6,239.6
10444250,-0.00,24.11,0.0,?,234.2,234.2
10669125,-0.00,24.81,0.0,?,227.3,227.3
10894000,-0.00,25.34,0.0,?,222.4,222.4
11118875,0.06,26.04,3.3,96.19,216.2,216.2
11343750,0.06,26.74,3.2,96.19,210.3,210.3
11568625,0.06,27.27,3.0,96.19,206.1,206.1
11793500,0.06,27.98,2.9,96.19,200.7,200.7
12018375,-0.00,28.68,0.0,?,195.6,195.6
12243250,-0.00,29.21,0.0,?,191.9,191.9
12468125,0.06,29.91,2.5,96.19,187.1,187.2
12693000,-0.00,30.62,0.0,?,182.7,182.7
12917875,-0.00,31.32,0.0,?,178.4,178.4
13142750,0.06,31.85,2.2,96.19,175.2,175.2
13367625,-0.00,32.55,0.0,?,171.3,171.3
13592500,-0.00,33.26,0.0,?,167.4,167.4
13817375,-0.00,33.78,0.0,?,164.7,164.7
14042250,-0.00,34.49,0.0,?,161.1,161.1
14267125,-0.00,35.19,0.0,?,157.7,157.7
14492000,-0.00,35.89,0.0,?,154.4,154.4
14716875,-0.00,36.60,0.0,?,151.2,151.2
14941750,-0.00,37.30,0.0,?,148.1,148.1
15166625,-0.00,38.01,0.0,?,145.2,145.2
15391500,0.06,38.71,1.5,96.19,142.3,142.3
15616375,-0.00,39.41,0.0,?,139.6,139.6
15841250,0.06,40.12,1.4,96.19,136.9,136.9
16066125,0.06,40.82,1.4,96.19,134.4,134.4
16291000,0.06,41.52,1.3,96.19,131.9,131.9
16515875,0.06,42.23,1.3,96.19,129.5,129.5
16740750,0.06,42.93,1.3,96.19,127.1,127.1
16965625,0.12,43.64,2.4,48.10,124.9,124.9
17190500,0.06,44.34,1.2,96.19,122.7,122.7
17415375,0.06,45.04,1.2,96.19,120.6,120.6
17640250,0.06,45.75,1.1,96.19,118.5,118.5
17865125,0.06,46.63,1.1,96.19,116.0,116.0
18090000,0.12,47.33,2.1,48.10,114.1,114.1
18314875,0.12,48.04,2.0,48.10,112.2,112.2
18539750,0.12,48.74,2.0,48.10,110.4,110.4
18764625,0.12,49.62,1.9,48.10,108.1,108.2
18989500,0.12,50.32,1.9,48.10,106.4,106.4
19214375,0.12,51.03,1.8,48.10,104.7,104.8
19439250,0.12,51.91,1.8,48.10,102.7,102.7
19664125,0.12,52.61,1.7,48.10,101.1,101.1
19889000,0.12,53.49,1.7,48.10,99.2,99.2
20113875,0.18,54.19,2.4,98.73,97.7,97.7
20338750,0.12,55.07,1.6,48.10,95.9,95.9
20563625,0.18,55.95,2.3,98.73,94.1,94.1
20788500,0.18,56.66,2.2,98.73,92.7,92.7
21013375,0.18,57.54,2.2,98.73,91.0,91.1
21238250,0.18,58.42,2.1,98.73,89.4,89.4
21463125,0.18,59.30,2.1,98.73,87.8,87.8
21688000,0.18,60.18,2.0,98.73,86.3,86.3
21912875,0.18,60.88,2.0,98.73,85.1,85.1
22137750,0.18,61.76,1.9,98.73,83.6,83.6
22362625,0.18,62.64,1.9,98.73,82.1,82.2
22587500,0.18,63.34,1.8,98.73,81.0,81.0
22812375,0.23,64.22,2.4,74.05,79.6,79.7
23037250,0.23,65.10,2.3,74.05,78.3,78.3
23262125,0.23,65.98,2.3,74.05,77.0,77.0
23487000,0.23,67.04,2.2,74.05,75.4,75.5
23711875,0.23,67.92,2.2,74.05,74.2,74.2
23936750,0.23,68.80,2.1,74.05,73.0,73.0
24161625,0.23,69.68,2.1,74.05,71.8,71.8
24386500,0.23,70.73,2.0,74.05,70.4,70.4
24611375,0.23,71.61,2.0,74.05,69.3,69.3
24836250,0.23,72.67,1.9,74.05,67.9,68.0
25061125,0.29,73.55,2.4,59.24,66.8,66.9
25286000,0.29,74.60,2.3,59.24,65.6,65.6
25510875,0.29,75.48,2.3,59.24,64.5,64.6
25735750,0.29,76.54,2.2,59.24,63.3,63.4
25960625,0.29,77.60,2.1,59.24,62.1,62.2
26185500,0.29,78.48,2.1,59.24,61.2,61.2
26410375,0.35,79.53,2.5,49.37,60.0,60.1
26635250,0.29,80.59,2.0,59.24,58.9,59.0
26860125,0.35,81.64,2.4,49.37,57.8,57.9
27085000,0.35,82.70,2.3,49.37,56.8,56.8
27309875,0.35,83.75,2.3,49.37,55.7,55.8
27534750,0.35,84.99,2.2,49.37,54.5,54.6
27759625,0.35,86.04,2.2,49.37,53.5,53.6
27984500,0.35,87.10,2.1,49.37,52.6,52.6
28209375,0.35,88.33,2.1,49.37,51.4,51.5
28434250,0.29,89.38,1.7,59.24,50.5,50.5
28659125,0.29,90.44,1.7,59.24,49.6,49.6
28884000,0.29,91.50,1.6,59.24,48.7,48.7
29108875,0.23,92.55,1.3,74.05,47.8,47.8
29333750,0.23,93.26,1.3,74.05,47.2,47.2
29558625,0.23,94.13,1.3,74.05,46.5,46.5
29783500,0.29,95.01,1.6,59.24,45.8,45.8
30008375,0.29,95.89,1.5,59.24,45.1,45.1
30233250,0.35,96.77,1.8,49.37,44.4,44.4
30458125,0.41,98.01,2.1,42.32,43.4,43.5
30683000,0.41,99.06,2.0,42.32,42.6,42.7
30907875,0.47,100.29,2.3,37.03,41.7,41.7
31132750,0.47,101.52,2.2,37.03,40.8,40.8
31357625,0.53,102.76,2.5,32.92,39.9,40.0
31582500,0.53,103.99,2.4,32.92,39.0,39.1
31807375,0.53,105.40,2.4,32.92,38.0,38.1
32032250,0.59,106.63,2.6,29.63,37.2,37.3
32257125,0.59,107.86,2.6,29.63,36.4,36.4
32482000,0.59,109.27,2.5,29.63,35.4,35.5
32706875,0.59,110.50,2.5,29.63,34.6,34.7
32931750,0.59,111.91,2.5,29.63,33.7,33.8
33156625,0.65,113.14,2.7,26.94,32.9,33.1
33381500,0.65,114.55,2.6,26.94,32.1,32.2
33606375,0.65,115.95,2.6,26.94,31.2,31.3
33831250,0.65,117.18,2.5,26.94,30.5,30.6
34056125,0.70,118.59,2.7,24.70,29.6,29.8
34281000,0.70,119.82,2.7,24.70,28.9,29.0
34505875,0.70,121.23,2.7,24.70,28.1,28.2
34730750,0.70,122.64,2.6,24.70,27.3,27.4
34955625,0.76,124.05,2.8,22.80,26.5,26.6
35180500,0.76,125.45,2.8,22.80,25.7,25.9
35405375,0.82,126.86,3.0,21.17,24.9,25.1
35630250,0.82,128.27,2.9,21.17,24.2,24.3
35855125,0.82,129.68,2.9,21.17,23.4,23.6
36080000,0.82,131.09,2.8,21.17,22.7,22.9
36304875,0.82,132.49,2.8,21.17,21.9,22.1
36529750,0.88,133.90,3.0,19.76,21.2,21.4
36754625,0.88,135.48,3.0,19.76,20.4,20.6
36979500,0.88,136.89,2.9,19.76,19.7,19.9
37204375,0.88,138.48,2.9,19.76,18.9,19.1
37429250,0.94,139.88,3.1,18.53,18.2,18.5
37654125,0.94,141.47,3.0,18.53,17.4,17.7
37879000,0.94,142.87,3.0,18.53,16.7,17.0
38103875,0.94,144.46,3.0,18.53,16.0,16.2
38328750,0.94,145.87,3.0,18.53,15.3,15.6
38553625,0.94,147.45,2.9,18.53,14.6,14.8
38778500,1.00,149.03,3.1,17.44,13.8,14.1
39003375,1.00,150.62,3.1,17.44,13.1,13.4
