Frequency, Return_Loss, Phase, Rs, SWR, Xs, Z
100000,0.41,62.11,4.4,42.32,82.9,83.0
324875,-0.00,3.17,0.0,?,1808.6,1808.6
549750,0.06,2.11,481.1,96.19,2625.1,2668.9
774625,-0.00,1.76,0.0,?,3256.1,3256.1
999500,0.06,1.58,834.2,96.19,3414.1,3514.5
1224375,-0.00,1.58,0.0,?,3617.9,3617.9
1449250,0.06,1.76,683.0,96.19,3105.9,3180.1
1674125,-0.00,1.94,0.0,?,2960.0,2960.0
1899000,-0.00,2.11,0.0,?,2713.3,2713.3
2123875,0.06,2.46,356.6,96.19,2269.6,2297.4
2348750,0.06,2.82,274.6,96.19,1997.1,2015.8
2573625,-0.00,3.17,0.0,?,1808.6,1808.6
2798500,-0.00,3.52,0.0,?,1627.6,1627.6
3023375,-0.00,4.05,0.0,?,1415.2,1415.2
3248250,-0.00,4.40,0.0,?,1301.9,1301.9
3473125,-0.00,4.93,0.0,?,1162.3,1162.3
3698000,-0.00,5.45,0.0,?,1049.6,1049.6
3922875,-0.00,5.98,0.0,?,956.9,956.9
4147750,-0.00,6.69,0.0,?,856.0,856.0
4372625,-0.00,7.21,0.0,?,793.2,793.2
4597500,0.06,7.74,36.9,96.19,737.1,738.0
4822375,-0.00,8.27,0.0,?,691.6,691.6
5047250,-0.00,8.80,0.0,?,650.0,650.0
5272125,-0.00,9.33,0.0,?,613.0,613.0
5497000,-0.00,9.85,0.0,?,580.1,580.1
5721875,-0.00,10.56,0.0,?,541.2,541.2
5946750,-0.00,11.09,0.0,?,515.3,515.3
6171625,-0.00,11.61,0.0,?,491.7,491.7
6396500,-0.00,12.14,0.0,?,470.2,470.2
6621375,-0.00,12.67,0.0,?,450.4,450.4
6846250,-0.00,13.20,0.0,?,432.3,432.3
7071125,-0.00,13.90,0.0,?,410.2,410.2
7296000,-0.00,14.43,0.0,?,395.0,395.0
7520875,-0.00,14.96,0.0,?,380.9,380.9
7745750,-0.00,15.48,0.0,?,367.8,367.8
7970625,-0.00,16.01,0.0,?,355.5,355.5
8195500,-0.00,16.54,0.0,?,344.0,344.0
8420375,-0.00,17.07,0.0,?,333.2,333.2
8645250,-0.00,17.60,0.0,?,323.1,323.1
8870125,-0.00,18.12,0.0,?,313.5,313.5
9095000,-0.00,18.83,0.0,?,301.6,301.6
9319875,-0.00,19.35,0.0,?,293.2,293.2
9544750,-0.00,19.88,0.0,?,285.3,285.3
9769625,-0.00,20.41,0.0,?,277.7,277.7
9994500,-0.00,20.94,0.0,?,270.6,270.6
10219375,-0.00,21.47,0.0,?,263.8,263.8
10444250,-0.00,21.99,0.0,?,257.3,257.3
10669125,-0.00,22.52,0.0,?,251.1,251.1
10894000,0.06,23.05,4.2,96.19,245.1,245.2
11118875,0.06,23.58,4.0,96.19,239.5,239.5
11343750,0.06,24.11,3.9,96.19,234.1,234.1
11568625,0.06,24.63,3.7,96.19,228.9,229.0
11793500,0.06,25.34,3.5,96.19,222.4,222.4
12018375,0.06,25.87,3.4,96.19,217.7,217.7
12243250,0.06,26.39,3.2,96.19,213.2,213.2
12468125,0.06,26.92,3.1,96.19,208.9,208.9
12693000,0.06,27.45,3.0,96.19,204.7,204.7
12917875,-0.00,27.98,0.0,?,200.7,200.7
13142750,0.06,28.50,2.8,96.19,196.8,196.8
13367625,-0.00,29.03,0.0,?,193.1,193.1
13592500,-0.00,29.56,0.0,?,189.5,189.5
13817375,-0.00,30.09,0.0,?,186.0,186.0
14042250,-0.00,30.62,0.0,?,182.7,182.7
14267125,-0.00,31.14,0.0,?,179.4,179.4
14492000,-0.00,31.67,0.0,?,176.3,176.3
14716875,-0.00,32.20,0.0,?,173.2,173.2
14941750,-0.00,32.73,0.0,?,170.3,170.3
15166625,-0.00,33.26,0.0,?,167.4,167.4
15391500,-0.00,33.78,0.0,?,164.7,164.7
15616375,0.06,34.31,1.9,96.19,161.9,162.0
15841250,0.06,35.01,1.9,96.19,158.5,158.5
16066125,0.06,35.54,1.8,96.19,156.0,156.0
16291000,0.06,36.07,1.8,96.19,153.5,153.6
16515875,0.06,36.60,1.7,96.19,151.2,151.2
16740750,0.06,37.13,1.7,96.19,148.9,148.9
16965625,0.06,37.65,1.6,96.19,146.6,146.6
17190500,0.06,38.18,1.6,96.19,144.5,144.5
17415375,0.06,38.71,1.5,96.19,142.3,142.3
17640250,0.06,39.24,1.5,96.19,140.3,140.3
17865125,0.06,39.77,1.5,96.19,138.2,138.2
18090000,0.06,40.29,1.4,96.19,136.3,136.3
18314875,0.06,40.82,1.4,96.19,134.4,134.4
18539750,0.06,41.35,1.4,96.19,132.5,132.5
18764625,0.06,42.05,1.3,96.19,130.1,130.1
18989500,0.06,42.58,1.3,96.19,128.3,128.3
19214375,0.06,43.11,1.3,96.19,126.6,126.6
19439250,0.06,43.64,1.2,96.19,124.9,124.9
19664125,0.06,44.16,1.2,96.19,123.2,123.2
19889000,0.12,44.69,2.3,48.10,121.6,121.6
20113875,0.12,45.22,2.3,48.10,120.0,120.0
20338750,0.18,45.75,3.3,98.73,118.4,118.5
20563625,0.12,46.28,2.2,48.10,117.0,117.0
20788500,0.18,46.80,3.2,98.73,115.5,115.5
21013375,0.18,47.33,3.1,98.73,114.0,114.1
21238250,0.18,47.86,3.1,98.73,112.6,112.6
21463125,0.18,48.39,3.0,98.73,111.2,111.3
21688000,0.18,48.91,3.0,98.73,109.9,109.9
21912875,0.18,49.44,2.9,98.73,108.5,108.6
22137750,0.18,49.97,2.8,98.73,107.2,107.3
22362625,0.18,50.50,2.8,98.73,106.0,106.0
22587500,0.18,51.03,2.7,98.73,104.7,104.7
22812375,0.18,51.55,2.7,98.73,103.5,103.5
23037250,0.18,52.26,2.6,98.73,101.9,101.9
23262125,0.18,52.79,2.6,98.73,100.7,100.7
23487000,0.18,53.31,2.5,98.73,99.5,99.6
23711875,0.18,53.84,2.5,98.73,98.4,98.4
23936750,0.18,54.37,2.4,98.73,97.3,97.3
24161625,0.18,54.90,2.4,98.73,96.2,96.2
24386500,0.18,55.43,2.3,98.73,95.1,95.2
24611375,0.18,55.95,2.3,98.73,94.1,94.1
24836250,0.18,56.48,2.3,98.73,93.0,93.1
25061125,0.18,57.01,2.2,98.73,92.0,92.1
25286000,0.18,57.54,2.2,98.73,91.0,91.1
25510875,0.18,58.06,2.1,98.73,90.0,90.1
25735750,0.18,58.59,2.1,98.73,89.1,89.1
