Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|
100000,-0.29,56.66,3.7,59.24,92.6,92.7
324875,-0.00,2.64,0.0,?,2170.5,2170.5
549750,0.06,1.76,683.0,96.19,3105.9,3180.1
774625,-0.00,1.58,0.0,?,3617.9,3617.9
999500,0.06,1.94,569.1,96.19,2846.3,2902.6
1224375,0.06,2.29,411.9,96.19,2434.9,2469.5
1449250,0.06,2.99,243.7,96.19,1883.5,1899.2
1674125,-0.00,3.87,0.0,?,1479.6,1479.6
1899000,0.06,4.75,97.6,96.19,1197.4,1201.4
2123875,0.06,5.81,65.5,96.19,981.6,983.7
2348750,0.06,6.86,47.0,96.19,831.3,832.6
2573625,0.06,7.92,35.3,96.19,720.7,721.6
2798500,-0.00,8.97,0.0,?,637.2,637.2
3023375,-0.00,10.03,0.0,?,569.8,569.8
3248250,-0.00,11.26,0.0,?,507.2,507.2
3473125,0.06,12.32,14.7,96.19,462.9,463.2
3698000,-0.00,13.37,0.0,?,426.5,426.5
3922875,0.06,14.43,10.7,96.19,394.7,394.9
4147750,0.06,15.48,9.3,96.19,367.5,367.7
4372625,0.06,16.72,8.0,96.19,340.2,340.2
4597500,0.06,17.77,7.1,96.19,319.7,319.7
4822375,0.06,18.83,6.3,96.19,301.5,301.5
5047250,0.06,19.88,5.7,96.19,285.2,285.2
5272125,0.06,21.11,5.0,96.19,268.2,268.2
5497000,0.06,22.17,4.6,96.19,255.1,255.2
5721875,0.06,23.23,4.2,96.19,243.2,243.3
5946750,0.06,24.46,3.8,96.19,230.6,230.7
6171625,0.06,25.51,3.5,96.19,220.8,220.8
6396500,0.06,26.57,3.2,96.19,211.7,211.7
6621375,0.06,27.80,2.9,96.19,202.0,202.0
6846250,-0.00,28.86,0.0,?,194.3,194.3
7071125,0.06,29.91,2.5,96.19,187.1,187.2
7296000,0.06,31.14,2.3,96.19,179.4,179.4
7520875,0.06,32.20,2.2,96.19,173.2,173.2
7745750,0.06,33.43,2.0,96.19,166.5,166.5
7970625,0.06,34.49,1.9,96.19,161.1,161.1
8195500,0.06,35.72,1.8,96.19,155.2,155.2
8420375,0.06,36.77,1.7,96.19,150.4,150.4
8645250,0.06,38.01,1.6,96.19,145.2,145.2
8870125,0.06,39.24,1.5,96.19,140.3,140.3
9095000,0.06,40.47,1.4,96.19,135.6,135.6
9319875,0.06,41.70,1.3,96.19,131.3,131.3
9544750,0.06,42.76,1.3,96.19,127.7,127.7
9769625,0.06,44.16,1.2,96.19,123.2,123.2
9994500,0.06,45.22,1.1,96.19,120.0,120.1
10219375,0.06,46.45,1.1,96.19,116.5,116.5
10444250,0.06,47.68,1.0,96.19,113.1,113.1
10669125,0.06,49.09,1.0,96.19,109.5,109.5
10894000,0.06,50.32,0.9,96.19,106.4,106.4
11118875,0.12,51.55,1.8,48.10,103.5,103.5
11343750,0.12,52.79,1.7,48.10,100.7,100.7
11568625,0.12,54.19,1.6,48.10,97.7,97.7
11793500,0.12,55.43,1.6,48.10,95.2,95.2
12018375,0.12,56.83,1.5,48.10,92.4,92.4
12243250,0.12,58.06,1.4,48.10,90.1,90.1
12468125,0.12,59.47,1.4,48.10,87.5,87.5
12693000,0.18,60.70,2.0,98.73,85.4,85.4
12917875,0.18,62.11,1.9,98.73,83.0,83.0
13142750,0.18,63.52,1.8,98.73,80.7,80.8
13367625,0.18,64.93,1.8,98.73,78.6,78.6
13592500,0.18,66.33,1.7,98.73,76.5,76.5
13817375,0.18,67.74,1.6,98.73,74.5,74.5
14042250,0.18,69.15,1.6,98.73,72.5,72.5
14267125,0.18,70.56,1.5,98.73,70.7,70.7
14492000,0.18,72.14,1.5,98.73,68.6,68.6
14716875,0.23,73.55,1.9,74.05,66.9,66.9
14941750,0.23,75.13,1.8,74.05,65.0,65.0
15166625,0.23,76.54,1.8,74.05,63.3,63.4
15391500,0.29,78.12,2.1,59.24,61.6,61.6
15616375,0.29,79.71,2.1,59.24,59.9,59.9
15841250,0.29,81.29,2.0,59.24,58.2,58.2
16066125,0.29,82.87,1.9,59.24,56.6,56.6
16291000,0.35,84.46,2.2,49.37,55.0,55.1
16515875,0.35,86.04,2.2,49.37,53.5,53.6
16740750,0.35,87.80,2.1,49.37,51.9,52.0
16965625,0.35,89.38,2.0,49.37,50.5,50.5
17190500,0.35,91.14,2.0,49.37,49.0,49.0
17415375,0.41,92.73,2.3,42.32,47.6,47.7
17640250,0.41,94.49,2.2,42.32,46.2,46.2
17865125,0.41,96.25,2.1,42.32,44.8,44.8
18090000,0.41,98.01,2.1,42.32,43.4,43.5
18314875,0.41,99.77,2.0,42.32,42.1,42.1
18539750,0.47,101.70,2.2,37.03,40.7,40.7
18764625,0.47,103.46,2.2,37.03,39.4,39.5
18989500,0.47,105.40,2.1,37.03,38.0,38.1
19214375,0.47,107.16,2.1,37.03,36.9,36.9
19439250,0.47,109.09,2.0,37.03,35.6,35.6
19664125,0.53,111.03,2.2,32.92,34.3,34.4
19889000,0.53,112.96,2.2,32.92,33.1,33.1
20113875,0.59,115.07,2.4,29.63,31.8,31.8
20338750,0.59,117.01,2.3,29.63,30.6,30.7
20563625,0.59,118.94,2.3,29.63,29.4,29.5
20788500,0.65,121.06,2.4,26.94,28.2,28.3
21013375,0.65,123.17,2.4,26.94,27.0,27.1
21238250,0.65,125.10,2.4,26.94,25.9,26.0
21463125,0.65,127.21,2.3,26.94,24.8,24.9
21688000,0.65,129.33,2.3,26.94,23.6,23.7
21912875,0.65,131.61,2.2,26.94,22.4,22.5
22137750,0.70,133.72,2.4,24.70,21.3,21.5
22362625,0.70,136.01,2.4,24.70,20.2,20.3
22587500,0.70,138.12,2.3,24.70,19.1,19.2
22812375,0.70,140.41,2.3,24.70,18.0,18.1
23037250,0.70,142.70,2.3,24.70,16.8,17.0
23262125,0.76,144.99,2.4,22.80,15.7,15.9
23487000,0.76,147.45,2.4,22.80,14.6,14.8
23711875,0.76,149.74,2.4,22.80,13.5,13.7
23936750,0.76,152.02,2.3,22.80,12.4,12.6
24161625,0.76,154.49,2.3,22.80,11.3,11.5
24386500,0.76,156.95,2.3,22.80,10.2,10.4
24611375,0.82,159.24,2.4,21.17,9.1,9.5
24836250,0.82,161.70,2.4,21.17,8.0,8.4
25061125,0.76,164.34,2.2,22.80,6.9,7.2
25286000,0.76,166.80,2.2,22.80,5.8,6.2
25510875,0.76,169.27,2.2,22.80,4.7,5.2
25735750,0.82,171.55,2.4,21.17,3.7,4.4
25960625,0.82,174.02,2.4,21.17,2.6,3.5
26185500,0.88,176.66,2.5,19.76,1.5,2.9
26410375,0.76,178.94,2.2,22.80,0.5,2.2
26635250,0.82,180.00,2.4,21.17,0.0,2.4
26860125,0.88,180.00,2.5,19.76,0.0,2.5
27085000,0.88,179.30,2.5,19.76,0.3,2.5
27309875,0.88,176.66,2.5,19.76,1.5,2.9
27534750,0.88,174.19,2.5,19.76,2.5,3.6
27759625,0.82,171.55,2.4,21.17,3.7,4.4
27984500,0.82,168.91,2.4,21.17,4.8,5.4
28209375,0.82,166.28,2.4,21.17,6.0,6.5
28434250,0.88,163.81,2.6,19.76,7.1,7.5
28659125,0.82,161.17,2.4,21.17,8.3,8.6
28884000,0.82,158.71,2.4,21.17,9.4,9.7
29108875,0.82,156.25,2.5,21.17,10.5,10.8
29333750,0.82,153.78,2.5,21.17,11.6,11.9
29558625,0.82,151.32,2.5,21.17,12.8,13.0
29783500,0.82,148.68,2.5,21.17,14.0,14.2
30008375,0.82,146.22,2.6,21.17,15.1,15.4
30233250,0.76,143.75,2.4,22.80,16.3,16.5
30458125,0.76,141.29,2.5,22.80,17.5,17.7
30683000,0.76,138.83,2.5,22.80,18.7,18.9
30907875,0.76,136.36,2.5,22.80,20.0,20.1
31132750,0.76,133.90,2.6,22.80,21.2,21.4
31357625,0.70,131.44,2.4,24.70,22.5,22.6
