Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|
100000,1.94,114.02,7.8,9.01,31.9,32.8
327146,0.94,174.55,2.7,18.53,2.4,3.6
554292,0.82,171.55,2.4,21.17,3.7,4.4
781438,0.70,168.04,2.0,24.70,5.2,5.6
1008584,0.65,164.52,1.9,26.94,6.8,7.0
1235730,0.65,161.00,1.9,26.94,8.4,8.6
1462876,0.59,157.65,1.8,29.63,9.9,10.0
1690022,0.53,154.13,1.6,32.92,11.5,11.6
1917168,0.53,150.62,1.6,32.92,13.1,13.2
2144314,0.47,147.10,1.5,37.03,14.8,14.8
2371460,0.47,143.75,1.5,37.03,16.4,16.4
2598606,0.41,140.41,1.3,42.32,18.0,18.0
2825752,0.35,137.07,1.2,49.37,19.7,19.7
3052898,0.35,133.72,1.2,49.37,21.4,21.4
3280044,0.35,130.56,1.2,49.37,23.0,23.0
3507190,0.29,127.21,1.1,59.24,24.8,24.8
3734336,0.29,124.05,1.1,59.24,26.5,26.6
3961482,0.29,121.06,1.1,59.24,28.2,28.3
4188628,0.23,117.89,0.9,74.05,30.1,30.1
4415774,0.23,114.90,1.0,74.05,31.9,31.9
4642920,0.23,111.91,1.0,74.05,33.8,33.8
4870066,0.23,109.09,1.0,74.05,35.6,35.6
5097212,0.18,106.28,0.8,98.73,37.5,37.5
5324358,0.18,103.28,0.8,98.73,39.6,39.6
5551504,0.18,100.65,0.9,98.73,41.5,41.5
5778650,0.18,97.83,0.9,98.73,43.6,43.6
6005796,0.18,95.19,0.9,98.73,45.7,45.7
6232942,0.12,92.55,0.6,48.10,47.8,47.8
6460088,0.12,90.09,0.7,48.10,49.9,49.9
6687234,0.12,87.45,0.7,48.10,52.3,52.3
6914380,0.12,84.99,0.7,48.10,54.6,54.6
7141526,0.12,82.52,0.8,48.10,57.0,57.0
7368672,0.06,80.06,0.4,96.19,59.5,59.5
7595818,0.06,77.77,0.4,96.19,62.0,62.0
7822964,0.06,75.48,0.5,96.19,64.6,64.6
8050110,0.06,73.20,0.5,96.19,67.3,67.3
8277256,0.06,70.91,0.5,96.19,70.2,70.2
8504402,0.06,68.80,0.5,96.19,73.0,73.0
8731548,0.06,66.51,0.6,96.19,76.2,76.2
8958694,-0.00,64.40,0.0,?,79.4,79.4
9185840,-0.00,62.29,0.0,?,82.7,82.7
9412986,-0.00,60.18,0.0,?,86.3,86.3
9640132,-0.00,58.24,0.0,?,89.8,89.8
9867278,-0.06,56.30,0.8,96.19,93.4,93.4
10094424,-0.06,54.37,0.8,96.19,97.3,97.4
10321570,-0.06,52.43,0.9,96.19,101.5,101.5
10548716,-0.06,50.50,0.9,96.19,106.0,106.0
10775862,-0.06,48.56,1.0,96.19,110.8,110.8
11003008,-0.06,46.80,1.1,96.19,115.5,115.5
11230154,-0.12,45.04,2.3,48.10,120.5,120.6
11457300,-0.12,43.28,2.5,48.10,126.0,126.0
11684446,-0.18,41.70,4.0,98.73,131.2,131.2
11911592,-0.18,40.12,4.3,98.73,136.8,136.9
12138738,-0.18,38.53,4.6,98.73,142.9,143.0
12365884,-0.12,36.95,3.4,48.10,149.6,149.6
12593030,-0.12,35.37,3.7,48.10,156.8,156.8
12820176,-0.12,33.78,4.0,48.10,164.6,164.6
13047322,-0.12,32.02,4.4,48.10,174.1,174.2
13274468,-0.12,30.44,4.9,48.10,183.7,183.7
13501614,-0.12,28.86,5.4,48.10,194.2,194.3
13728760,-0.06,27.27,3.0,96.19,206.1,206.1
13955906,-0.06,25.69,3.4,96.19,219.2,219.3
14183052,-0.06,23.93,3.9,96.19,235.9,235.9
14410198,-0.06,22.35,4.5,96.19,253.1,253.1
14637344,-0.12,20.59,10.6,48.10,274.9,275.1
14864490,-0.12,19.18,12.1,48.10,295.5,295.7
15091636,-0.06,17.60,7.2,96.19,322.9,323.0
15318782,-0.12,16.19,17.0,48.10,350.8,351.2
15545928,-0.12,14.78,20.4,48.10,384.4,385.0
15773074,-0.12,13.37,24.8,48.10,425.1,425.8
16000220,-0.12,11.79,31.9,48.10,482.2,483.3
16227366,-0.12,10.56,39.7,48.10,538.3,539.7
16454512,-0.12,9.15,52.7,48.10,620.4,622.7
16681658,-0.12,7.74,73.3,48.10,731.6,735.3
16908804,-0.12,6.51,103.3,48.10,866.9,873.0
17135950,-0.12,5.10,166.6,48.10,1096.9,1109.5
17363096,-0.18,4.05,375.4,98.73,1307.6,1360.4
17590242,-0.18,2.99,646.2,98.73,1664.4,1785.4
17817388,-0.12,2.29,760.4,48.10,2247.3,2372.5
18044534,-0.18,1.94,1305.8,98.73,2177.0,2538.6
18271680,-0.18,1.76,1496.9,98.73,2268.7,2718.1
18498826,-0.18,1.76,1496.9,98.73,2268.7,2718.1
18725972,-0.18,2.11,1145.7,98.73,2083.6,2377.8
18953118,-0.18,2.64,800.1,98.73,1818.7,1986.9
19180264,-0.18,3.52,484.5,98.73,1467.9,1545.8
19407410,-0.18,4.57,298.7,98.73,1176.0,1213.4
19634556,-0.23,5.63,260.3,74.05,945.3,980.5
19861702,-0.23,6.86,179.4,74.05,793.5,813.6
20088848,-0.18,8.27,95.5,98.73,678.2,684.9
